LFARG,LFFUNC,LFVAL
комната,LOC,в
вывод,OPER1,приходить
влияние,OPER1,оказывать
свойство,OPER1,обладать
влияние,BON,положительный
эксперимент,OPER1,проводить
мнение,ADV2-UN,по
молодость,LOC,в
недостаток,LIQUFUNC0,восполнять
чемпионат,FUNC0,состояться
юар,LOC,в
совет,OPER3,получать
команда,CAUSFUNC0,формировать
правило,ANTIREAL1-M,нарушать
резонанс,MAGN,широкий
резонанс,CAUSFUNC0,вызывать
ванкувер,LOC,в
поручение,ADV2-UN,по
деньги,ANTIMAGN,маленький
результат,ADV2-UN,в
средства,REAL1,расходовать
выволочка,OPER2,получать
становление,FUNC0,проходить
доход,FUNC2,составлять
состав,INCEPOPER1,попадать
медаль,INCEPOPER1,завоевывать
лондон,LOC,в
надежда,CAUSFUNC,возлагать
предложение,FUNC0,поступать
сомнение,CAUSFUNC0,вызывать
вуз,LOC,в
среда,LOC,в
факультет,REAL1,оканчивать
университет,REAL1,оканчивать
упор,OPER1,делать
диплом,FUNC1,быть
старт,LOC,на
вуз,INCEPREAL1,поступать
знание,MAGN,прочный
уровень,MAGN,высокий
количество,MAGN,огромный
данные,ADV2-UN,по
рынок,LOC,на
год,LOC,в
речь,FUNC0,идти
вуз,LOC,в
влиять,MAGN,сильно
вуз,LOC,в
обучение,OPER1,вести
данные,ADV2-UN,по
вуз,LOC,в
образование,INCEPOPER2,получать
москва,LOC,в
вуз,LOC,в
уважение,OPER2,пользоваться
среда,LOC,в
диплом,CAUSFUNC0,выдавать
данные,ADV2-UN,по
интерес,MANIF,проявлять
выставка,FUNC0,проходить
выставка,LOC,на
апрель,LOC,в
знать,MAGN,твердо
отдел,CAP,начальник
сектор,LOC,в
уровень,LOC,на
бизнес,OPER1,вести
факультет,LOC,на
журфак,LOC,на
диссертация,S0_REAL1-M,защита
позиция,OPER1,занимать
образование,INCEPOPER2,получать
образование,CAUSFUNC0,давать
мгу,LOC,в
образование,CAUSFUNC2,давать
знание,INCEPOPER1,получать
знание,CAUSFUNC1,давать
рост,MAGN,быстрый
образование,INCEPOPER1,получать
область,LOC,в
мгу,LOC,в
очерчивать,MAGN,четко
специфика,OPER1,иметь
место,LOC,на
газпромбанк,LOC,в
должность,MAGN,высокий
мера,MAGN,полный
университет,LOC,в
разговор,FUNC3,идти
роль,OPER1,играть
подчинение,ADV2-UN,в
рынок,LOC,на
расчет,OPER1,делать
решение,OPER1,принимать
земля,SING,участок
земля,SING,участок
здание,CAUSFUNC0,строить
решение,OPER1,принимать
здание,CAUSFUNC0,строить
обочина,LOC,на
список,CAUSFUNC0,составлять
список,LOC,в
данные,ADV2-UN,по
десятка,OPER1,входить
состояние,ADV1-UN,в
состояние,OPER1,испытывать
брак,BON,счастливый
дом,REAL1,жить
дружба,FUNC1,связывать
ключ,LABREAL1-2,открывать
экспертиза,OPER1,проводить
убийство,OPER1,совершать
состояние,ADV1-UN,в
заседание,FUNC0,проходить
порядок,ADV1-UN,в
внимание,LABOR1-2,принимать
кража,ANTIMAGN,мелкий
страна,LOC,в
название,ADV1-UN,под
состояние,OPER1,находиться
время,LOC,в
вопрос,INCEPFUNC1,возникать
решение,OPER1,выносить
мнение,OPER1,иметь
экспертиза,S0_OPER1,проведение
мнение,INCEPFUNC1,складываться
тест,OPER1,проводить
вопрос,OPER1,задавать
задача,S0_REAL1-M,решение
экспертиза,S0_OPER1,проведение
учет,OPER2,состоять
порядок,ADV1-UN,в
преступление,OPER1,совершать
изменение,OPER2,претерпевать
начало,LOC,в
предположение,OPER1,делать
причина,ADV2-UN,по
испания,LOC,в
эпоха,LOC,в
речь,FUNC0,идти
вывод,OPER1,делать
характер,OPER1,иметь
уровень,MAGN,высокий
причина,VER,подлинный
удивление,ANTIMAGN,некоторый
вопрос,INCEPFUNC0,возникать
речь,INCEPFUNC0,заходить
потемки,LOC,в
принцип,REAL1-M,придерживаться
речь,FUNC0,идти
речь,FUNC0,идти
внимание,OPER2,привлекать
внимание,VER,должный
одиночество,ADV1-UN,в
поверхность,LOC,на
европа,LOC,в
поверхность,LOC,на
отличаться,MAGN,сильно
вопрос,OPER1,задаваться
роль,OPER1,играть
функция,OPER1,выполнять
смысл,OPER1,нести
поверхность,LOC,на
роль,MAGN,важный
задача,REAL1-M,решать
форма,ADV1-UN,в
наличие,OPER1,быть
порядок,ADV1-UN,в
речь,FUNC0,идти
история,OPER1,рассказывать
преследование,OPER2,подвергать
чувство,OPER1,испытывать
ощущение,OPER1,переживать
вид,ADV1-UN,в
место,OPER1,занимать
ощущение,OPER1,испытывать
зависимость,VER,прямой
дело,FUNC0,обстоять
задача,CAUSFUNC0,ставить
эпоха,LOC,в
основание,LOC,в
земля,LOC,на
альпы,LOC,в
церматт,LOC,в
отличаться,MAGN,резко
впечатление,CAUSFUNC0,производить
место,LOC,в
вид,ADV1-UN,в
иной,MAGN,принципиально
вид,OPER1,иметь
вид,OPER1,иметь
другой,MAGN,совершенно
лошадь,SON,ржать
условие,ADV1-UN,при
женева,LOC,в
день,LOC,в
нормандия,LOC,в
вид,CAUSFUNC1,придавать
век,LOC,в
женева,LOC,в
поверхность,LOC,на
вид,ADV1-UN,в
время,LOC,в
музыка,REAL1,слушать
такт,ADV1-UN,в
условие,ADV1-UN,при
момент,LOC,в
иллюзия,CAUSFUNC0,создавать
дело,OPER1,делать
ощущение,MAGN,сильный
море,LOC,в
место,OPER1,занимать
залив,LOC,в
сен-мало,LOC,в
пора,LOC,в
дно,LOC,на
воздействие,OPER1,производить
сомнение,CAUSFUNC0,вызывать
время,LOC,в
чистый,MAGN,очень
сен-мало,LOC,в
оттенок,INCEPOPER1,приобретать
луна,LOC,на
конец,LOC,в
пустота,LOC,в
связь,INCEPOPER1,вступать
смысл,CAUSFUNC1,придавать
сфера,LOC,в
возможность,CAUSFUNC1,давать
волос,FUNC0,расти
причина,ADV2-UN,по
речь,FUNC0,идти
глаз,LIQUFACT0,закрывать
сомнение,ADV2-UN,под
глаз,LIQUFACT0,закрывать
предел,LOC,в
глаз,CAUSFACT0,открывать
речь,FUNC0,идти
конец,LOC,в
противоположный,MAGN,прямо
момент,LOC,в
характеристика,OPER1,давать
большинство,MAGN,подавляющий
темнота,LOC,в
причина,ADV2-UN,по
глаз,LIQUFACT0,закрывать
сон,ADV1-UN,в
бред,ADV1-UN,в
глаз,LIQUFACT0,закрывать
небо,LOC,на
форма,INCEPOPER1,приобретать
понятие,OPER1,иметь
правило,S0_ANTIREAL3-M,нарушение
роман,LOC,в
роман,LOC,в
роман,LOC,в
норма,REAL1-M,соответствовать
речь,FUNC0,идти
речь,FUNC0,идти
плащ,INCEPREAL1,надевать
глаз,LIQUFACT0,закрывать
темнота,LOC,в
правило,ADV1-UN,по
плен,ADV2-UN,в
дно,LOC,на
время,LOC,в
вид,ADV1-UN,в
сиракузы,LOC,в
остров,LOC,на
эффект,OPER1,создавать
вейи,LOC,в
ужас,CAUSFUNC1,вызывать
имя,CAUSOPER1,называть
шутка,ANTIBON,злой
шутка,ANTIBON,злой
смысл,OPER1,нести
смотреть,MAGN,внимательно
радость,MANIF,выражать
речь,INCEPFUNC0,заходить
рассмотрение,MAGN,подробный
речь,FUNC0,идти
чувство,OPER1,испытывать
сон,ADV1-UN,в
пятница,LOC,в
керчь,LOC,в
колледж,LOC,в
центр,LOC,в
город,LOC,в
город,LOC,в
итог,ADV2-UN,в
колледж,LOC,в
интернет,LOC,в
дом,LOC,в
край,LOC,на
крым,LOC-AD,в
площадь,LOC,на
керчь,LOC,в
состояние,ADV1-UN,в
россия,LOC,в
мнение,ADV2-UN,по
сша,LOC,в
америка,LOC,в
спор,MAGN,ярый
среда,LOC,в
сша,LOC,в
коннектикут,LOC,в
декабрь,LOC,в
школа,LOC,в
пресса,LOC,в
керчь,LOC,в
магазин,LABREAL1-2,покупать
вопрос,FUNC1,быть
улица,LOC,на
район,LOC,в
хрущевка,REAL1,жить
дом,REAL1,жить
день,LOC,в
убежище,OPER1,предоставлять
рф,LOC,в
улица,LOC,на
улица,LOC,на
здание,ANTIBON,обшарпанный
здание,LOC,в
день,LOC,в
ответственность,FUNC1,лежать
цель,ADV1-UN,с
кафе,INCEPFACT0,открываться
санкт-петербург,LOC,в
страх,ADV1-UN,в
мир,LOC,в
проблема,MAGN,серьезный
возможность,FUNC1,быть
уровень,LOC,на
мнение,ADV2-UN,по
россия,LOC,в
ответственность,OPER1,нести
решение,OPER1,принимать
привычка,ANTIBON,дурной
степень,MAGN,крайний
ответственность,FUNC1,лежать
страна,LOC,в
цель,MAGN,главный
связь,FINOPER1,терять
итог,ADV2-UN,в
раздражение,OPER1,испытывать
момент,LOC,в
расчет,LABOR1-2,брать
ссора,ANTIMAGN,мелкий
удовольствие,OPER1,получать
присутствие,ADV2-UN,в
роль,OPER1,играть
дом,LOC,в
комната,LOC,в
день,LOC,в
обижаться,MAGN,горько
уровень,MAGN,высокий
событие,FUNC0,происходить
время,LOC,в
время,LOC,в
присутствие,ADV2-UN,в
внимание,OPER1,обращать
халат,INCEPREAL1,надевать
вопрос,OPER1,задавать
задача,REAL1-M,решать
победа,REAL1-M,торжествовать
знакомство,INCEPOPER1,завязывать
разводы,ADV1-UN,в
имя,CAUSOPER1,называть
имя,CAUSOPER1,называть
значение,CAUSFUNC1,придавать
дача,LOC,на
испытание,MAGN,серьезный
дача,LOC,на
поселок,LOC,в
поселок,LOC,в
язык,ADV1-UN,на
платье,BON,новый
дом,LOC,в
начало,LOC,в
тарелка,LOC,на
безопасность,OPER1,быть
конец,LOC,в
незнакомый,MAGN,совершенно
место,LOC,в
тьма,LOC,в
отношение,OPER1,иметь
место,LOC,в
дача,LOC,на
сарай,LOC,в
начало,LOC,в
забывать,MAGN,совершенно
дверца,LIQUFACT0,открывать
темнота,LOC,в
тьма,LOC,в
подозрение,INCEPOPER2,вызывать
чувство,OPER1,испытывать
удовольствие,OPER2,доставлять
мгновение,LOC,в
пора,LOC,в
речь,FUNC0,идти
семья,LOC,в
тифлис,LOC,в
армения,LOC,в
счет,OPER1,вести
шаг,ANTIMAGN,мелкий
оттенок,INCEPOPER1,приобретать
дверь,LIQUFACT0,открывать
стол,REAL1,сидеть
кухня,LOC,на
тарелка,LOC-AD,в
одиночество,ADV1-UN,в
вечер,LOC,в
очки,INCEPREAL1,надевать
кухня,LOC-AD,на
честь,REAL1-M,блюсти
вопрос,OPER1,задавать
кухня,LOC-AD,на
недоумение,ADV1-UN,в
шубка,BON,новый
картина,CAUSFUNC0,рисовать
телефон,REAL1,звонить
кухня,LOC-AD,на
отвращение,OPER1,испытывать
разговор,FUNC0,идти
направление,ADV1-UN,в
стол,REAL1,сидеть
дверь,LIQUFACT0,открывать
помойка,LOC,на
помойка,LOC-AD,на
помойка,LOC-AD,на
подъезд,LOC,в
комнатушка,LOC,в
помощник,VER,надежный
время,LOC,в
слух,OPER1,пускать
морг,LOC,в
отделение,LOC,в
банка,LOC,в
ухо,LIQUFACT0,затыкать
чердак,LOC-AD,на
этаж,LOC,на
рабство,ADV2-UN,в
успех,MAGN,большой
предлог,ADV2-UN,под
мода,OPER2,быть
возраст,ANTIMAGN,юный
вечер,LOC,в
столик,REAL1,сидеть
запрещать,MAGN,строго
недоумение,ADV1-UN,в
край,LOC-AD,на
угол,LOC,на
вид,OPER1,иметь
предчувствие,ANTIBON,дурной
мысль,INCEPFUNC0,приходить
время,INCEPFUNC0,наставать
время,INCEPFUNC0,наставать
правда,MAGN,истинный
момент,LOC,в
комната,LOC,в
край,LOC,на
вопль,OPER1,издавать
вечность,FINFUNC0,проходить
оправдание,MAGN,полный
право,OPER1,иметь
семья,LOC,в
детство,MAGN,ранний
желание,MAGN,горячий
пустота,LOC,в
уборная,LOC,в
воздух,LOC,в
перерыв,LOC,в
мода,OPER2,быть
неприемлемый,MAGN,совершенно
результат,ADV2-UN,в
постель,INCEPREAL1,ложиться
потребность,REAL1-M,удовлетворять
предположение,OPER1,высказывать
час,INCEPFUNC0,пойти
отделение,LOC,в
дом,LOC,в
кушетка,REAL1,лежать
порядок,ADV1-UN,в
семья,LOC,в
акцент,MAGN,сильный
судьба,ANTIBON,злой
порядок,ADV1-UN,в
обед,ADV2-UN,на
совесть,ANTIVER,неспокойный
время,LOC,в
каталепсия,FUNC1,быть
глаз,LIQUFACT0,закрывать
стул,REAL1,сидеть
совещание,FUNC0,состояться
кабинет,LOC,в
присутствие,ADV2-UN,в
связывать,MAGN,тесно
восток,LOC-AD,на
время,LOC,в
договор,CAUSFUNC0,подписывать
европа,LOC,в
четверг,LOC,в
глейвиц,LOC,в
участие,OPER1,принимать
обязательство,OPER1,иметь
станция,LOC,на
время,LOC,в
рейхстаг,LOC,в
глейвиц,LOC,в
гарантия,OPER1,давать
конфликт,S0_INCEPOPER1,вступление
оборона,MAGN,активный
поддержка,OPER2,встречать
конференция,CAUSFUNC0,созывать
вопрос,S0_CAUSFACT0-M,решение
союз,LOC,в
сила,INCEPOPER1,вступать
время,LOC,в
война,INCEPFUNC0,начинаться
война,INCEPOPER1,вступать
состояние,INCEPOPER1,приходить
быдгощ,LOC,в
договор,ADV2-UN,по
город,LOC,в
книга,CAUSFUNC0,издавать
версия,ADV1-UN,по
версия,ADV1-UN,по
план,ADV1-UN,по
действие,OPER1,предпринимать
фронт,LOC,на
война,INCEPOPER1,начинать
атака,OPER1,проводить
командование,ADV2-UN,под
польша,LOC,в
место,LOC,в
приказ,OPER1,отдавать
поддержка,OPER2,получать
командование,ADV2-UN,под
порядок,ADV1-UN,в
москва,LOC,в
ссср,LOC,в
защита,INCEPLABOR1-2,брать
защита,INCEPLABOR1-2,брать
ссср,LOC,в
ссср,LOC,в
война,S0_INCEPOPER1,вступление
война,INCEPOPER1,объявлять
день,LOC,в
москва,LOC,в
территория,LOC,на
договор,CAUSFUNC0,подписывать
положение,ANTIBON,тяжелый
состав,CAUSOPER1,включать
территория,LOC,на
ссср,LOC,в
преобразование,OPER1,проводить
предложение,OPER1,выступать
конференция,FUNC0,состояться
результат,ADV2-UN,в
суша,LOC,на
воздух,LOC,в
действие,OPER1,предпринимать
итог,ADV2-UN,в
название,INCEPOPER1,получать
печать,ADV2-UN,в
поражение,OPER1,потерпеть
год,LOC,в
запад,LOC,на
война,OPER1,вести
попытка,OPER1,предпринимать
год,LOC,в
год,LOC,в
угроза,MAGN,серьезный
угроза,CAUSFUNC0,создавать
карелия,LOC,в
уступка,OPER1,идти
обязательство,INCEPOPER1,принимать
соглашение,S0_CAUSFACT0-M,заключение
майнила,LOC,в
склад,LOC,на
уровень,MAGN,высокий
финляндия,LOC,в
москва,LOC,в
лига,INCEPOPER1,входить
успех,OPER1,достигать
успех,MAGN,большой
попытка,OPER1,предпринимать
решение,OPER1,принимать
война,S0_INCEPOPER1,вступление
восток,LOC-AD,на
отказываться,MAGN,категорически
территория,LOC,на
нейтралитет,OPER1,сохранять
начало,LOC,в
требование,REAL3-M,удовлетворять
москва,LOC,в
район,LOC,в
залив,LOC,в
договор,CAUSFUNC0,подписывать
норвегия,LOC,в
план,CAUSFUNC0,разрабатывать
дания,LOC,в
угроза,ADV2-UN,под
норвегия,LOC,в
намсус,LOC,в
ондальснес,LOC,в
неудача,OPER1,терпеть
начало,LOC,в
наступление,INCEPOPER1,развертывать
начало,LOC,в
управление,ADV2-UN,под
значение,OPER1,иметь
значение,MAGN,важный
бомбардировка,OPER2,подвергать
бомбардировка,MAGN,массированный
возможность,CAUSFUNC1,давать
бельгия,LOC,в
удар,OPER1,наносить
запад,LOC-AD,на
неожиданность,MAGN,полный
состояние,ADV1-UN,в
север,LOC-AD,на
попытка,VER,успешный
уничтожать,MAGN,полностью
приказ,ADV2-UN,по
версия,ADV1-UN,по
день,LOC,в
район,LOC,в
корабль,LOC,на
попытка,ANTIVER,безуспешный
сражение,ANTIREAL1-M,проигрывать
юг,LOC-AD,на
день,LOC,в
просьба,LABOR1-2,обращаться
правительство,CAUSFUNC0,формировать
сопротивление,OPER2,встречать
день,LOC,в
год,LOC,в
компьен,LOC,в
курс,OPER1,брать
режим,CAUSFUNC2,устанавливать
сотрудничество,MAGN,тесный
результат,ADV2-UN,в
объяснение,REAL2-M,поддаваться
поражение,MAGN,полный
приказ,OPER1,отдавать
контроль,INCEPOPER2,попадать
удар,OPER1,наносить
мерс-эль-кебир,LOC,в
территория,LOC,на
договор,CAUSFUNC0,заключать
ультиматум,OPER1,предъявлять
выборы,S0_OPER1,проведение
требование,REAL3-M,принимать
переворот,FUNC0,происходить
поддержка,ADV2-UN,при
эстония,LOC,в
власть,INCEPOPER1,приходить
выборы,OPER1,проводить
эстония,LOC,в
союз,S0_INCEPOPER1,вступление
прошение,OPER1,направлять
бессарабия,LOC,в
ущерб,OPER1,наносить
год,LOC,в
состав,CAUSOPER1,включать
год,LOC,в
территория,LOC,на
состав,OPER1,входить
век,LOC,в
состав,CAUSOPER1,включать
отказ,OPER3,получать
мир,CAUSFUNC0,заключать
воздух,LOC,в
цель,ADV1-UN,с
нападение,OPER1,совершать
юг,LOC,на
бомбардировка,MAGN,массированный
потеря,OPER1,понести
битва,REAL1-M,выигрывать
потеря,MAGN,большой
операция,S0_OPER1,проведение
цель,REAL1-M,добиваться
цель,MAGN,главный
африка,LOC,в
балканы,LOC,на
война,S0_INCEPOPER1,вступление
удар,OPER1,наносить
мальта,LOC,на
кения,LOC,в
начало,LOC,в
лондон,LOC,в
борьба,INCEPOPER1,начинать
контроль,INCEPOPER1,устанавливать
контроль,CAUSFUNC2,устанавливать
браззавиль,LOC,в
поражение,OPER1,терпеть
сенегал,LOC,в
ноябрь,LOC,в
африка,LOC,в
контрнаступление,INCEPOPER1,переходить
удар,OPER1,наносить
ноябрь,LOC,в
таранто,LOC,в
наступление,INCEPOPER1,переходить
египет,LOC,в
январь,LOC,в
начало,LOC,в
африка,LOC,в
наступление,OPER1,предпринимать
февраль,LOC,в
север,LOC-AD,на
поражение,OPER2,наносить
сомали,LOC,в
год,LOC,в
император,LIQUFACT0-M,свергать
существование,FINOPER1,прекращать
африка,LOC,в
территория,LOC,на
поражение,OPER2,наносить
март,LOC,в
сражение,LOC,в
греция,LOC,в
поражение,OPER1,терпеть
бой,MAGN,ожесточенный
поражение,MAGN,полный
поражение,OPER1,потерпеть
поражение,MAGN,полный
фронт,LOC,на
помощь,CAUSFUNC0,просить
февраль,LOC,в
командование,ADV2-UN,под
наступление,INCEPOPER1,переходить
африка,LOC,в
май,LOC,в
колония,LOC,в
закон,CAUSFUNC0,принимать
участие,OPER1,принимать
надежда,ADV1-UN,в
азия,LOC,в
план,CAUSFUNC0,составлять
распоряжение,OPER1,отдавать
участие,OPER1,принимать
участие,OPER1,принимать
мысль,MANIF,высказывать
атмосфера,LOC,в
турция,LOC,в
цель,ADV1-UN,для
европа,LOC,в
год,LOC,в
власть,INCEPOPER1,приходить
переворот,FUNC0,происходить
белград,LOC,в
договор,CAUSFUNC0,заключать
решение,OPER1,принимать
греция,LOC,в
операция,S0_OPER1,проведение
балканы,LOC,на
восток,LOC,на
поддержка,ADV2-UN,при
греция,LOC,в
плен,INCEPOPER2,попадать
день,LOC,в
успех,OPER2,увенчиваться
решение,OPER1,принимать
день,LOC,в
крит,LOC,на
попытка,LIQUFACT0-M,срывать
малеме,LOC,в
оборона,MAGN,упорный
потеря,MAGN,большой
операция,S0_OPER1,проведение
результат,ADV2-UN,в
протекторат,ADV2-UN,под
сербия,LOC,в
результат,ADV2-UN,в
власть,INCEPOPER1,захватывать
договоренность,ADV2-UN,по
помощь,OPER1,оказывать
состояние,ADV1-UN,в
угроза,FUNC0,существовать
год,LOC,в
поставка,OPER1,осуществлять
контроль,CAUSFUNC0,устанавливать
китай,LOC,в
страна,LOC,в
отпор,OPER1,оказывать
отпор,MAGN,серьезный
октябрь,LOC,в
поражение,OPER2,наносить
договор,CAUSFUNC0,подписывать
африка,LOC,в
июнь,LOC,в
причина,VER,истинный
начало,LOC,в
проблема,CAUSFACT0-M,решать
год,LOC,в
война,INCEPFUNC0,начинаться
июнь,LOC,в
азия,LOC,в
лондон,LOC,в
европа,LOC,в
надежда,FINFUNC0,угасать
игра,CAUSFUNC0,проводить
план,ADV1-UN,по
увеличиваться,MAGN,резко
характер,OPER1,носить
сообщение,OPER3,получать
война,INCEPOPER1,начало
кампания,INCEPFUNC0,начинаться
совещание,FUNC0,проходить
конец,LOC,в
конец,LOC,в
москва,LOC,в
название,ADV1-UN,под
игра,CAUSFUNC0,проводить
противоположный,MAGN,прямо
направление,ADV1-UN,в
удаление,ADV1-UN,на
игра,INCEPFUNC0,начинаться
армия,LOC,в
решение,OPER1,принимать
сбор,OPER1,проводить
большинство,MAGN,подавляющий
конец,LOC,в
численность,FUNC2,достигать
власть,INCEPOPER1,приходить
переворот,FUNC0,происходить
югославия,LOC,в
решение,OPER1,принимать
греция,LOC,в
операция,S0_OPER1,проведение
время,LOC,в
территория,LOC,на
нападать,VER,внезапно
поддержка,ADV2-UN,при
война,INCEPFUNC0,начинаться
удар,OPER1,наносить
удар,MAGN,мощный
день,LOC,в
неудача,OPER1,терпеть
контрудар,OPER1,наносить
сражение,LOC,в
поражение,OPER1,потерпеть
залив,LOC,в
план,S0_REAL1-M,осуществление
путь,LOC,на
утти,LOC,в
норвегия,LOC,в
удар,OPER1,наносить
начало,LOC,в
район,LOC,в
прикрытие,ADV2-UN,под
остров,LOC,на
район,LOC,в
день,LOC,в
разрешение,OPER3,иметь
контрнаступление,INCEPOPER1,переходить
глубина,MAGN,большой
заполярье,LOC,в
наступление,INCEPOPER1,предпринимать
поражение,OPER1,потерпеть
прорыв,OPER1,совершать
украина,LOC,на
направление,ADV1-UN,в
приказ,OPER1,отдавать
юг,LOC-AD,на
север,LOC-AD,на
состав,LIQUOPER1,выводить
приказ,OPER3,получать
район,LOC,в
направление,ADV1-UN,по
отказ,OPER3,получать
отказ,MAGN,категорический
приказание,OPER1,отдавать
украина,LOC,на
начало,LOC,в
ухудшаться,MAGN,резко
юг,LOC-AD,на
результат,ADV2-UN,в
юг,LOC-AD,на
октябрь,LOC,в
юг,LOC,на
цель,REAL1-M,достигать
юг,LOC,на
юг,LOC,на
рубеж,LOC,на
результат,ADV2-UN,в
район,LOC,в
плен,INCEPOPER2,попадать
командование,ADV2-UN,под
войска,CAP,командующий
контрнаступление,INCEPOPER1,переходить
декабрь,LOC,в
результат,ADV2-UN,в
итог,ADV2-UN,в
запад,LOC-AD,на
наступление,INCEPOPER1,переходить
наступление,INCEPOPER1,переходить
задача,REAL1-M,выполнять
наступление,FINOPER1,прекращать
потеря,OPER1,понести
потеря,MAGN,большой
задача,CAUSFUNC0,ставить
опасность,OPER1,представлять
успех,OPER2,увенчиваться
март,LOC,в
океан,LOC,в
удар,OPER1,наносить
база,LOC,на
база,ADV2-UN,на
эмиграция,ADV1-UN,в
гонконг,LOC,в
район,LOC,в
удар,LABOR1-2,подвергать
союз,S0_INCEPOPER1,заключение
остров,LOC,на
остров,LOC,на
оборона,REAL2-M,прорывать
плен,INCEPOPER2,попадать
филиппины,LOC,на
конец,LOC,в
полуостров,LOC,на
поражение,OPER2,наносить
море,LOC,в
остров,LOC,на
февраль,LOC,в
начало,LOC,в
поражение,OPER2,наносить
бирма,LOC,в
конец,LOC,в
филиппины,LOC,на
контроль,INCEPOPER1,устанавливать
потеря,ANTIMAGN,незначительный
контроль,CAUSFUNC0,устанавливать
поражение,OPER1,терпеть
поражение,MAGN,сокрушительный
регион,LOC,в
атлантика,LOC,в
атлантика,LOC,в
война,S0_INCEPOPER1,вступление
поправка,CAUSFUNC0,принимать
запрет,LIQUFUNC0,снимать
ответ,ADV2-UN,в
сокращаться,MAGN,существенно
июль,LOC,в
инициатива,INCEPOPER1,перехватывать
война,S0_INCEPOPER1,вступление
атлантика,LOC,в
удар,OPER1,наносить
регион,LOC,в
средиземноморье,LOC,в
инициатива,INCEPOPER1,захватывать
море,LOC,в
ливия,LOC,в
улучшаться,MAGN,значительно
африка,LOC,в
поражение,MAGN,полный
эфиопия,LOC,в
возможность,INCEPOPER1,получать
наступление,INCEPOPER1,переходить
контрудар,OPER1,наносить
наступление,INCEPOPER1,переходить
оборона,REAL2-M,прорывать
северо-восток,LOC-AD,на
ливия,LOC,в
потеря,OPER1,нести
потеря,MAGN,большой
тобрук,LOC,в
потеря,MAGN,большой
август,LOC,в
африка,LOC,в
оборона,REAL2-M,прорывать
неудача,OPER1,терпеть
неудача,MAGN,полный
наступление,INCEPOPER1,переходить
оборона,REAL2-M,прорывать
африка,LOC,в
управление,ADV2-UN,под
управление,OPER2,находиться
океан,LOC,в
повод,OPER1,являться
остров,LOC,на
сопротивление,OPER1,оказывать
сопротивление,MAGN,упорный
африка,LOC,в
африка,LOC,в
день,LOC,в
погода,ANTIBON,плохой
помощь,OPER1,оказывать
вашингтон,LOC,в
план,S0_REAL1-M,реализация
цель,OPER1,преследовать
план,FUNC2,состоять
блокада,REAL2-M,прорывать
крым,LOC,в
май,LOC,в
удар,REAL2-M,парировать
наступление,INCEPOPER1,переходить
поражение,OPER1,потерпеть
поражение,MAGN,сокрушительный
крым,LOC,в
итог,ADV2-UN,в
кавказ,LOC-AD,на
бой,MAGN,ожесточенный
донбасс,LOC,в
потеря,MAGN,большой
битва,INCEPFUNC0,начинаться
кавказ,LOC-AD,на
бой,LOC,в
предгорье,LOC,в
операция,OPER1,проводить
успех,OPER2,увенчиваться
блокада,REAL2-M,прорывать
фронт,LOC,на
контрнаступление,INCEPOPER1,переходить
плен,INCEPLABOR1-2,брать
результат,ADV2-UN,в
поражение,OPER2,наносить
контрнаступление,INCEPOPER1,переходить
начало,LOC,в
инициатива,INCEPOPER1,перехватывать
февраль,LOC,в
июль,LOC,в
битва,LOC,в
бой,INCEPFUNC0,начинаться
поражение,OPER2,наносить
битва,LOC,в
год,FINFUNC0,проходить
конец,LOC,в
юг,LOC,на
африка,LOC,в
марокко,LOC,в
сопротивление,REAL2-M,ломать
наступление,INCEPOPER1,переходить
ливия,LOC,в
потеря,OPER1,понести
потеря,MAGN,большой
наступление,INCEPOPER1,переходить
сопротивление,OPER1,оказывать
северо-восток,LOC-AD,на
сицилия,LOC,на
корсика,LOC,на
страна,LOC,в
решение,OPER1,принимать
сентябрь,LOC,в
юг,LOC,на
война,S0_FINOPER1,выход
север,LOC,на
север,LOC-AD,на
оборона,REAL2-M,прорывать
река,LOC,на
район,LOC,в
январь,LOC,в
оборона,REAL2-M,прорывать
дождь,MAGN,сильный
цель,ADV1-UN,с
река,LOC,на
анцио,LOC,в
анцио,LOC,в
оборона,REAL2-M,прорывать
монте-кассино,LOC,в
год,LOC,в
решение,OPER1,принимать
январь,LOC,в
конференция,LOC,на
название,INCEPOPER1,получать
бомбардировка,LABOR1-2,подвергать
июль,LOC,в
потеря,MAGN,значительный
дальность,OPER1,иметь
битва,LOC,в
гвинея,LOC,в
начало,LOC,в
попытка,OPER1,предпринимать
попытка,ANTIVER,безуспешный
конец,LOC,в
бирма,LOC,в
ноябрь,LOC,в
фронт,LOC,на
война,S0_OPER1,ведение
конференция,FUNC0,состояться
конференция,LOC,на
ноябрь,LOC,в
операция,OPER1,проводить
нормандия,LOC,в
август,LOC,в
юг,LOC,на
сентябрь,LOC,в
запад,LOC,на
труд,ADV1-UN,с
контрнаступление,INCEPOPER1,переходить
арденны,LOC,в
контрнаступление,INCEPOPER1,переходить
наступление,ANTIFACT0-M,захлебываться
арденны,LOC,в
январь,LOC,в
эльзас,LOC,в
контратака,OPER1,предпринимать
эльзас,LOC,в
февраль,LOC,в
поражение,OPER1,потерпеть
поражение,MAGN,тяжелый
берег,LOC-AD,на
апрель,LOC,в
рур,LOC,в
италия,LOC,в
италия,LOC,в
конец,LOC,в
апрель,LOC,в
май,LOC,в
